Raw Score,ny​⋅g^​(y),Ny​⋅G^(y),g^​(y),G^(y),Q^​(y),nx​⋅f^​(x),Nx​⋅F^(x),f^​(x),F^(x),P^(x)
raw_score,form_y_freq,form_y_cum_freq,form_y_rel_freq,form_y_cum_rel_freq,form_y_percentile_rank,form_x_freq,form_x_cum_freq,form_x_rel_freq,form_x_cum_rel_freq,form_x_percentile_rank
0,0,0,0,0,0,0,0,0,0,0
1,1,1,0.0002,0.0002,0.01,1,1,0.0002,0.0002,0.01
2,3,4,0.0007,0.001,0.06,1,2,0.0002,0.0005,0.03
3,13,17,0.0031,0.0041,0.25,3,5,0.0007,0.0012,0.08
4,42,59,0.0101,0.0142,0.92,9,14,0.0021,0.0032,0.22
5,59,118,0.0142,0.0284,2.13,18,32,0.0042,0.0074,0.53
6,95,213,0.0229,0.0513,3.99,59,91,0.0136,0.021,1.42
7,131,344,0.0316,0.0829,6.71,67,158,0.0155,0.0365,2.88
8,158,502,0.0381,0.1209,10.19,91,249,0.021,0.0575,4.7
9,161,663,0.0388,0.1597,14.03,144,393,0.0333,0.0908,7.42
10,194,857,0.0467,0.2064,18.3,149,542,0.0344,0.1252,10.8
11,164,1021,0.0395,0.2459,22.62,192,734,0.0444,0.1696,14.74
12,166,1187,0.04,0.2859,26.59,192,926,0.0444,0.2139,19.17
13,197,1384,0.0474,0.3333,30.96,192,1118,0.0444,0.2583,23.61
14,177,1561,0.0426,0.376,35.46,201,1319,0.0464,0.3047,28.15
15,158,1719,0.0381,0.414,39.5,204,1523,0.0471,0.3518,32.83
16,169,1888,0.0407,0.4547,43.44,217,1740,0.0501,0.4019,37.69
17,132,2020,0.0318,0.4865,47.06,181,1921,0.0418,0.4438,42.28
18,158,2178,0.0381,0.5246,50.55,184,2105,0.0425,0.4863,46.5
19,151,2329,0.0364,0.5609,54.28,170,2275,0.0393,0.5255,50.59
20,134,2463,0.0323,0.5932,57.71,201,2476,0.0464,0.572,54.87
21,137,2600,0.033,0.6262,60.97,147,2623,0.034,0.6059,58.89
22,122,2722,0.0294,0.6556,64.09,163,2786,0.0377,0.6436,62.47
23,110,2832,0.0265,0.6821,66.88,147,2933,0.034,0.6775,66.05
24,116,2948,0.0279,0.71,69.61,140,3073,0.0323,0.7099,69.37
25,132,3080,0.0318,0.7418,72.59,147,3220,0.034,0.7438,72.68
26,104,3184,0.025,0.7669,75.43,126,3346,0.0291,0.7729,75.84
27,104,3288,0.025,0.7919,77.94,113,3459,0.0261,0.799,78.6
28,114,3402,0.0275,0.8194,80.56,100,3559,0.0231,0.8221,81.06
29,97,3499,0.0234,0.8427,83.1,106,3665,0.0245,0.8466,83.44
30,107,3606,0.0258,0.8685,85.56,107,3772,0.0247,0.8713,85.9
31,88,3694,0.0212,0.8897,87.91,91,3863,0.021,0.8824,88.18
32,80,3774,0.0193,0.909,89.93,83,3946,0.0192,0.9115,90.19
33,79,3853,0.019,0.928,91.85,73,4019,0.0169,0.9284,92
34,70,3923,0.0169,0.9448,93.64,72,4091,0.0166,0.945,93.67
35,61,3984,0.0147,0.9595,95.22,75,4166,0.0173,0.9623,95.37
36,48,4032,0.0116,0.9711,96.53,50,4216,0.0116,0.9739,96.81
37,47,4079,0.0113,0.9824,97.68,37,4253,0.0085,0.9824,97.82
38,29,4108,0.007,0.9894,98.59,38,4291,0.0088,0.9912,98.68
39,32,4140,0.0077,0.9971,99.33,23,4314,0.0053,0.9965,99.39
40,12,4152,0.0029,1,99.86,15,4329,0.0035,1,99.83
